timestamp_epoch_s,elapsed_ms,gpu_power_w,cpu_power_w,total_power_w,gpu_temp_c
1788941000.0000,0.00,32.40,14.20,46.60,37.8
1788941000.0100,10.00,33.10,14.50,47.60,37.8
1788941000.0200,20.00,34.80,15.10,49.90,37.9
1788941000.0300,30.00,36.50,15.80,52.30,37.9
1788941000.0400,40.00,37.20,16.20,53.40,38.0
1788941000.0500,50.00,38.00,16.50,54.50,38.0
1788941000.0600,60.00,37.80,16.40,54.20,38.0
1788941000.0700,70.00,38.10,16.30,54.40,38.1
1788941000.0800,80.00,37.90,16.20,54.10,38.1
1788941000.0900,90.00,38.20,16.40,54.60,38.1
1788941000.1000,100.00,38.40,16.50,54.90,38.1
1788941000.1100,110.00,38.20,16.30,54.50,38.2
1788941000.1200,120.00,38.30,16.20,54.50,38.2
1788941000.1300,130.00,38.10,16.10,54.20,38.2
1788941000.1400,140.00,38.50,16.40,54.90,38.2
1788941000.1500,150.00,38.40,16.30,54.70,38.3
1788941000.1600,160.00,38.20,16.20,54.40,38.3
1788941000.1700,170.00,38.00,16.10,54.10,38.3
1788941000.1800,180.00,38.30,16.30,54.60,38.3
1788941000.1900,190.00,38.50,16.40,54.90,38.4
1788941000.2000,200.00,38.20,16.20,54.40,38.4
1788941000.2100,210.00,38.10,16.10,54.20,38.4
1788941000.2200,220.00,38.40,16.30,54.70,38.4
1788941000.2300,230.00,38.30,16.20,54.50,38.5
1788941000.2400,240.00,38.60,16.50,55.10,38.5
1788941000.2500,250.00,38.40,16.30,54.70,38.5
1788941000.2600,260.00,38.20,16.20,54.40,38.5
1788941000.2700,270.00,38.50,16.40,54.90,38.6
1788941000.2800,280.00,38.30,16.30,54.60,38.6
1788941000.2900,290.00,38.10,16.10,54.20,38.6
1788941000.3000,300.00,38.40,16.30,54.70,38.6
1788941000.3100,310.00,38.20,16.20,54.40,38.7
1788941000.3200,320.00,38.00,16.10,54.10,38.7
1788941000.3300,330.00,38.30,16.30,54.60,38.7
1788941000.3400,340.00,38.50,16.40,54.90,38.7
1788941000.3500,350.00,38.20,16.20,54.40,38.8
1788941000.3600,360.00,38.10,16.10,54.20,38.8
1788941000.3700,370.00,37.80,15.90,53.70,38.8
1788941000.3800,380.00,35.20,14.80,50.00,38.8
1788941000.3900,390.00,32.80,14.30,47.10,38.8
